Channel	On	Off
4450 	5	0
4454 	9	0
4458 	3	0
4462 	9	0
4466 	6	0
4470 	11	0
4474 	11	0
4478 	16	0
4482 	4	0
4486 	10	0
4490 	6	0
4494 	13	0
4498 	14	0
4502 	17	0
4506 	13	0
4510 	10	0
4514 	12	0
4518 	12	0
4522 	12	0
4526 	15	0
4530 	13	0
4534 	24	0
4538 	18	0
4542 	21	0
4546 	10	0
4550 	15	0
4554 	19	0
4558 	16	0
4562 	7	0
4566 	20	0
4570 	19	0
4574 	10	0
4578 	13	0
4582 	9	0
4586 	19	0
4590 	19	0
4594 	16	0
4598 	18	0
4602 	18	0
4606 	10	0
4610 	13	0
4614 	17	0
4618 	15	0
4622 	16	0
4626 	10	0
4630 	9	0
4634 	17	0
4638 	8	0
4642 	16	0
4646 	11	0
4650 	7	0
4654 	9	0
4658 	9	0
4662 	10	0
4666 	6	0
4670 	13	0
4674 	11	0
4678 	12	0
4682 	9	0
4686 	10	0
4690 	7	0
4694 	12	0
4698 	11	0
4702 	14	0
4706 	12	0
4710 	17	0
4714 	16	0
4718 	20	0
4722 	8	0
4726 	9	0
4730 	10	0
4734 	17	0
4738 	16	0
4742 	12	0
4746 	9	0
4750 	14	0
4754 	11	0
4758 	13	0
4762 	17	0
4766 	12	0
4770 	7	0
4774 	12	0
4778 	13	0
4782 	20	0
4786 	24	0
4790 	26	0
4794 	14	0
4798 	22	0
4802 	20	0
4806 	22	0
4810 	18	0
4814 	15	0
4818 	22	0
4822 	17	0
4826 	27	0
4830 	23	0
4834 	20	0
4838 	24	0
4842 	29	0
4846 	23	0
4850 	27	0
4854 	22	0
4858 	16	0
4862 	25	0
4866 	31	0
4870 	14	0
4874 	30	0
4878 	25	0
4882 	32	0
4886 	28	0
4890 	23	0
4894 	34	0
4898 	18	0
4902 	36	0
4906 	34	0
4910 	18	0
4914 	29	0
4918 	22	0
4922 	28	0
4926 	28	0
4930 	24	0
4934 	24	0
4938 	20	0
4942 	22	0
4946 	17	0
4950 	32	0
4954 	18	0
4958 	17	0
4962 	16	0
4966 	22	0
4970 	23	0
4974 	15	0
4978 	25	0
4982 	12	0
4986 	23	0
4990 	16	0
4994 	13	0
4998 	21	0
5002 	14	0
5006 	18	0
5010 	25	0
5014 	20	0
5018 	15	0
5022 	29	0
5026 	18	0
5030 	26	0
5034 	22	0
5038 	27	0
5042 	21	0
5046 	20	0
5050 	26	0
5054 	24	0
5058 	23	0
5062 	31	0
5066 	27	0
5070 	22	0
5074 	21	0
5078 	23	0
5082 	26	0
5086 	24	0
5090 	46	0
5094 	30	0
5098 	38	0
5102 	35	0
5106 	37	0
5110 	29	0
5114 	38	0
5118 	38	0
5122 	43	0
5126 	45	0
5130 	40	0
5134 	42	0
5138 	33	0
5142 	37	0
5146 	38	0
5150 	46	0
5154 	40	0
5158 	39	0
5162 	42	0
5166 	39	0
5170 	33	0
5174 	53	0
5178 	42	0
5182 	47	0
5186 	39	0
5190 	42	0
5194 	47	0
5198 	45	0
5202 	43	0
5206 	35	0
5210 	53	0
5214 	46	0
5218 	42	0
5222 	52	0
5226 	52	0
5230 	47	0
5234 	51	0
5238 	45	0
5242 	44	0
5246 	45	0
5250 	38	0
5254 	56	0
5258 	41	0
5262 	35	0
5266 	41	0
5270 	30	0
5274 	35	0
5278 	30	0
5282 	39	0
5286 	31	0
5290 	34	0
5294 	41	0
5298 	37	0
5302 	37	0
5306 	25	0
5310 	39	0
5314 	46	0
5318 	31	0
5322 	39	0
5326 	39	0
5330 	31	0
5334 	29	0
5338 	31	0
5342 	39	0
5346 	33	0
5350 	32	0
5354 	48	0
5358 	35	0
5362 	42	0
5366 	37	0
5370 	41	0
5374 	57	0
5378 	45	0
5382 	58	0
5386 	40	0
5390 	44	0
5394 	34	0
5398 	51	0
5402 	37	0
5406 	41	0
5410 	40	0
5414 	47	0
5418 	54	0
5422 	58	0
5426 	47	0
5430 	59	0
5434 	72	0
5438 	64	0
5442 	67	0
5446 	74	0
5450 	57	0
5454 	63	0
5458 	61	0
5462 	59	0
5466 	63	0
5470 	67	0
5474 	75	0
5478 	65	0
5482 	96	0
5486 	89	0
5490 	78	0
5494 	75	0
5498 	80	0
5502 	102	0
5506 	71	0
5510 	79	0
5514 	69	0
5518 	78	0
5522 	58	0
5526 	76	0
5530 	78	0
5534 	78	0
5538 	56	0
5542 	55	0
5546 	68	0
5550 	67	0
5554 	73	0
5558 	72	0
5562 	59	0
5566 	67	0
5570 	60	0
5574 	56	0
5578 	63	0
5582 	56	0
5586 	73	0
5590 	57	0
5594 	61	0
5598 	78	0
5602 	72	0
5606 	80	0
5610 	68	0
5614 	57	0
5618 	62	0
5622 	59	0
5626 	58	0
5630 	67	0
5634 	49	0
5638 	64	0
5642 	63	0
5646 	60	0
5650 	70	0
5654 	71	0
5658 	60	0
5662 	61	0
5666 	48	0
5670 	69	0
5674 	45	0
5678 	81	0
5682 	78	0
5686 	64	0
5690 	65	0
5694 	67	0
5698 	71	0
5702 	77	0
5706 	71	0
5710 	74	0
5714 	77	0
5718 	91	0
5722 	72	0
5726 	70	0
5730 	80	0
5734 	82	0
5738 	92	0
5742 	96	0
5746 	99	0
5750 	87	0
5754 	80	0
5758 	97	0
5762 	94	0
5766 	105	0
5770 	109	0
5774 	99	0
5778 	112	0
5782 	110	0
5786 	95	0
5790 	101	0
5794 	95	0
5798 	82	0
5802 	115	0
5806 	122	0
5810 	114	0
5814 	117	0
5818 	118	0
5822 	118	0
5826 	107	0
5830 	103	0
5834 	107	0
5838 	102	0
5842 	119	0
5846 	122	0
5850 	111	0
5854 	95	0
5858 	114	0
5862 	118	0
5866 	122	0
5870 	113	0
5874 	112	0
5878 	120	0
5882 	119	0
5886 	102	0
5890 	105	0
5894 	87	0
5898 	99	0
5902 	102	0
5906 	94	0
5910 	97	0
5914 	96	0
5918 	120	0
5922 	98	0
5926 	106	0
5930 	105	0
5934 	89	0
5938 	116	0
5942 	101	0
5946 	89	0
5950 	100	0
5954 	98	0
5958 	104	0
5962 	89	0
5966 	104	0
5970 	94	0
5974 	113	0
5978 	100	0
5982 	99	0
5986 	93	0
5990 	90	0
5994 	99	0
5998 	111	0
6002 	106	0
6006 	101	0
6010 	116	0
6014 	115	0
6018 	112	0
6022 	114	0
6026 	121	0
6030 	122	0
6034 	132	0
6038 	107	0
6042 	118	0
6046 	133	0
6050 	130	0
6054 	158	0
6058 	167	0
6062 	130	0
6066 	154	0
6070 	150	0
6074 	131	0
6078 	169	0
6082 	166	0
6086 	132	0
6090 	167	0
6094 	165	0
6098 	142	0
6102 	153	0
6106 	188	0
6110 	169	0
6114 	170	0
6118 	147	0
6122 	145	0
6126 	144	0
6130 	175	0
6134 	169	0
6138 	194	0
6142 	190	0
6146 	174	0
6150 	182	0
6154 	163	0
6158 	163	0
6162 	145	0
6166 	172	0
6170 	153	0
6174 	181	0
6178 	148	0
6182 	191	0
6186 	164	0
6190 	207	0
6194 	145	0
6198 	163	0
6202 	173	0
6206 	166	0
6210 	148	0
6214 	146	0
6218 	154	0
6222 	144	0
6226 	146	0
6230 	140	0
6234 	158	0
6238 	171	0
6242 	150	0
6246 	161	0
6250 	129	0
6254 	126	0
6258 	145	0
6262 	171	0
6266 	145	0
6270 	175	0
6274 	185	0
6278 	142	0
6282 	165	0
6286 	137	0
6290 	135	0
6294 	158	0
6298 	181	0
6302 	136	0
6306 	149	0
6310 	167	0
6314 	157	0
6318 	145	0
6322 	162	0
6326 	178	0
6330 	183	0
6334 	185	0
6338 	167	0
6342 	181	0
6346 	200	0
6350 	185	0
6354 	189	0
6358 	210	0
6362 	200	0
6366 	201	0
6370 	213	0
6374 	220	0
6378 	225	0
6382 	187	0
6386 	203	0
6390 	229	0
6394 	222	0
6398 	229	0
6402 	224	0
6406 	226	0
6410 	251	0
6414 	250	0
6418 	220	0
6422 	217	0
6426 	270	0
6430 	214	0
6434 	238	0
6438 	245	0
6442 	271	0
6446 	246	0
6450 	260	0
6454 	231	0
6458 	250	0
6462 	231	0
6466 	236	0
6470 	215	0
6474 	229	0
6478 	260	0
6482 	239	0
6486 	252	0
6490 	215	0
6494 	211	0
6498 	253	0
6502 	217	0
6506 	214	0
6510 	226	0
6514 	244	0
6518 	203	0
6522 	217	0
6526 	224	0
6530 	192	0
6534 	214	0
6538 	214	0
6542 	237	0
6546 	217	0
6550 	213	0
6554 	214	0
6558 	214	0
6562 	211	0
6566 	207	0
6570 	196	0
6574 	208	0
6578 	256	0
6582 	236	0
6586 	210	0
6590 	201	0
6594 	214	0
6598 	223	0
6602 	227	0
6606 	189	0
6610 	257	0
6614 	208	0
6618 	227	0
6622 	224	0
6626 	264	0
6630 	251	0
6634 	245	0
6638 	234	0
6642 	247	0
6646 	235	0
6650 	249	0
6654 	261	0
6658 	267	0
6662 	271	0
6666 	281	0
6670 	298	0
6674 	267	0
6678 	295	0
6682 	284	0
6686 	307	0
6690 	292	0
6694 	297	0
6698 	257	0
6702 	259	0
6706 	298	0
6710 	305	0
6714 	310	0
6718 	334	0
6722 	365	0
6726 	303	0
6730 	313	0
6734 	285	0
6738 	313	0
6742 	295	0
6746 	309	0
6750 	320	0
6754 	335	0
